name,prompt,negative_prompt
Sage green,"Sage green, ",
Blush pink,"Blush pink, ",
Terracotta,"Terracotta, ",
Charcoal grey,"Charcoal grey, ",
Navy blue,"Navy blue, ",
Mustard yellow,"Mustard yellow, ",
Dusty rose,"Dusty rose, ",
Muted teal,"Muted teal, ",
Taupe,"Taupe, ",
Beige,"Beige, ",
Mauve,"Mauve, ",
Coppery brown,"Coppery brown, ",
Crimson,"Crimson, ",
Slate blue,"Slate blue, ",
Mint Green,"Mint Green, ",
