name,prompt,negative_prompt
Anish Kapoor,"Anish Kapoor, ",
Richard Serra,"Richard Serra, ",
Wolfgang Laib,"Wolfgang Laib, ",
Eduardo Chillida,"Eduardo Chillida, ",
Lee Ufan,"Lee Ufan, ",
Isamu Noguchi,"Isamu Noguchi, ",
James Turrell,"James Turrell, ",
Larry Bell,"Larry Bell, ",
Edward Hopper,"Edward Hopper, ",
Robert Irwin,"Robert Irwin, ",
