name,prompt,negative_prompt
Pine wood,"Pine wood, ",
Oak wood,"Oak wood, ",
Ash wood,"Ash wood, ",
Dark walnut wood,"Dark walnut wood, ",
Burnt timber,"Burnt timber, ",
Travertine,"Travertine, ",
Concrete,"Concrete, ",
Plaster,"Plaster, ",
Limestone,"Limestone, ",
Sandstone,"Sandstone, ",
Terrazzo,"Terrazzo, ",
Brass,"Brass, ",
Corten,"Corten, ",
Pewter,"Pewter, ",
Bouclé,"Bouclé, ",
Felt,"Felt, ",
