name,prompt,negative_prompt
Kelly Wearstler,"Kelly Wearstler, ",
Kelly Hoppen,"Kelly Hoppen, ",
Arne Jacobsen,"Arne Jacobsen, ",
David Hicks,"David Hicks, ",
Emily Henderson,"Emily Henderson, ",
India Mahdavi,"India Mahdavi, ",
Jonathan Adler,"Jonathan Adler, ",
Philippe Starck,"Philippe Starck, ",
Tom Dixon,"Tom Dixon, ",
