name,prompt,negative_prompt
Morning Light,"Morning Light, ",
Warm light,"Warm light, ",
Cold light,"Cold light, ",
Soft light,"Soft light, ",
Lighbox,"Lighbox, ",
Sunset light,"Sunset light, ",
Evening light,"Evening light, ",
Contrast light,"Contrast light, ",
Nighttime,"Nighttime, ",
